Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
inn00001,2,0,1,2,meal plan 1,0,room_type 1,224,2017,10,2,offline,0,0,0,65.0,0,not_canceled
inn00002,2,0,2,3,not selected,0,room_type 1,5,2018,11,6,online,0,0,0,106.68,1,not_canceled
inn00003,1,0,2,1,meal plan 1,0,room_type 1,1,2018,2,28,online,0,0,0,60.0,0,canceled
inn00004,2,0,0,2,meal plan 1,0,room_type 1,211,2018,5,20,online,0,0,0,100.0,0,canceled
inn00005,2,0,1,1,not selected,0,room_type 1,48,2018,4,11,online,0,0,0,94.5,0,canceled
inn00006,2,0,0,2,meal plan 2,0,room_type 1,346,2018,9,13,online,0,0,0,115.0,1,canceled
inn00007,2,0,1,3,meal plan 1,0,room_type 1,34,2017,10,15,online,0,0,0,107.55,1,not_canceled
inn00008,2,0,1,3,meal plan 1,0,room_type 4,83,2018,12,26,online,0,0,0,105.61,1,not_canceled
inn00009,3,0,0,4,meal plan 1,0,room_type 1,121,2018,7,6,offline,0,0,0,96.9,1,not_canceled
inn00010,2,0,0,5,meal plan 1,0,room_type 4,44,2018,10,18,online,0,0,0,133.44,3,not_canceled
inn00011,1,0,1,0,not selected,0,room_type 1,0,2018,9,11,online,0,0,0,85.03,0,not_canceled
inn00012,1,0,2,1,meal plan 1,0,room_type 4,35,2018,4,30,online,0,0,0,140.4,1,not_canceled
inn00013,2,0,2,1,not selected,0,room_type 1,30,2018,11,26,online,0,0,0,88.0,0,canceled
inn00014,1,0,2,0,meal plan 1,0,room_type 1,95,2018,11,20,online,0,0,0,90.0,2,canceled
inn00015,2,0,0,2,meal plan 1,0,room_type 1,47,2017,10,20,online,0,0,0,94.5,2,not_canceled
inn00016,2,0,0,2,meal plan 2,0,room_type 1,256,2018,6,15,online,0,0,0,115.0,1,canceled
inn00017,1,0,1,0,meal plan 1,0,room_type 1,0,2017,10,5,offline,0,0,0,96.0,0,not_canceled
inn00018,2,0,1,3,not selected,0,room_type 1,1,2017,8,10,online,0,0,0,96.0,1,not_canceled
inn00019,2,0,2,2,meal plan 1,0,room_type 1,99,2017,10,30,online,0,0,0,65.0,0,canceled
inn00020,2,0,1,0,meal plan 1,0,room_type 1,12,2017,10,4,offline,0,0,0,72.0,0,not_canceled
inn00021,2,0,2,2,meal plan 1,0,room_type 1,99,2017,10,30,online,0,0,0,65.0,0,canceled
inn00022,1,0,0,1,meal plan 1,0,room_type 1,122,2018,11,25,corporate,0,0,0,67.0,0,not_canceled
inn00023,2,0,2,4,meal plan 1,0,room_type 1,2,2018,3,20,offline,0,0,0,85.0,0,not_canceled
inn00024,2,0,0,3,meal plan 1,0,room_type 1,37,2018,10,13,offline,0,0,0,105.0,0,not_canceled
inn00025,2,0,2,1,not selected,0,room_type 1,130,2018,5,22,online,0,0,0,94.5,1,not_canceled
inn00026,2,0,0,2,meal plan 1,0,room_type 1,99,2018,4,28,online,0,0,0,114.3,1,not_canceled
inn00027,2,0,1,1,meal plan 1,0,room_type 1,60,2017,9,21,offline,0,0,0,65.0,0,not_canceled
inn00028,1,0,0,2,meal plan 1,0,room_type 4,2,2018,5,19,aviation,0,0,0,110.0,0,canceled
inn00029,1,0,1,2,meal plan 1,0,room_type 1,37,2017,11,6,online,0,0,0,37.33,0,canceled
inn00030,2,0,0,2,meal plan 2,0,room_type 1,56,2017,9,17,offline,0,0,0,82.0,0,not_canceled
inn00031,2,0,1,1,meal plan 1,0,room_type 4,3,2017,9,19,online,0,0,0,177.5,1,not_canceled
inn00032,2,0,2,2,meal plan 1,0,room_type 1,107,2018,11,13,online,0,0,0,87.5,1,not_canceled
inn00033,0,2,0,3,meal plan 1,0,room_type 2,56,2018,12,7,online,0,0,0,82.44,1,not_canceled
inn00034,2,0,0,1,not selected,0,room_type 1,2,2018,1,9,online,0,0,0,69.5,1,not_canceled
inn00035,2,0,0,2,meal plan 1,0,room_type 1,72,2018,10,7,offline,0,0,0,85.5,0,not_canceled
inn00036,2,0,0,1,not selected,1,room_type 1,23,2018,4,27,online,0,0,0,115.0,1,not_canceled
inn00037,1,0,2,1,meal plan 1,0,room_type 1,34,2018,6,19,online,0,0,0,81.0,0,canceled
inn00038,2,0,0,1,meal plan 1,0,room_type 1,289,2017,10,17,offline,0,0,0,67.0,0,not_canceled
inn00039,2,0,2,3,not selected,0,room_type 1,247,2018,11,19,online,0,0,0,63.75,0,canceled
inn00040,2,0,2,1,meal plan 1,0,room_type 4,186,2018,7,30,online,0,0,0,121.8,1,canceled
inn00041,2,0,0,4,meal plan 1,0,room_type 1,64,2018,11,1,online,0,0,0,93.6,2,not_canceled
inn00042,2,0,0,2,meal plan 1,0,room_type 1,35,2018,6,21,online,0,0,0,102.0,1,not_canceled
inn00043,3,0,2,1,meal plan 1,0,room_type 1,96,2018,4,10,online,0,0,0,121.8,1,not_canceled
inn00044,2,0,1,1,not selected,0,room_type 1,41,2018,6,27,online,0,0,0,98.1,1,canceled
inn00045,2,0,0,4,meal plan 1,0,room_type 4,55,2017,11,18,offline,0,0,0,60.0,1,not_canceled
inn00046,2,0,0,3,meal plan 1,0,room_type 1,146,2017,12,29,offline,0,0,0,75.0,0,not_canceled
inn00047,1,0,0,2,meal plan 1,0,room_type 1,32,2017,11,20,offline,0,0,0,73.0,0,not_canceled
inn00048,2,0,0,1,meal plan 2,0,room_type 1,55,2018,4,6,offline,0,0,0,104.0,0,not_canceled
inn00049,2,0,0,4,not selected,0,room_type 1,57,2018,11,1,online,0,0,0,79.2,1,not_canceled
inn00050,1,0,1,3,meal plan 1,0,room_type 4,7,2018,12,29,online,0,0,0,125.8,2,not_canceled
inn00051,1,0,2,5,not selected,0,room_type 1,124,2018,5,30,online,0,0,0,87.95,0,not_canceled
inn00052,2,0,2,2,meal plan 2,0,room_type 1,169,2018,4,22,online,0,0,0,106.0,0,canceled
inn00053,1,0,1,2,meal plan 1,0,room_type 1,6,2018,5,16,online,0,0,0,136.67,1,not_canceled
inn00054,2,0,0,4,meal plan 1,0,room_type 4,51,2017,11,11,offline,0,0,0,60.0,1,not_canceled
inn00055,2,0,1,0,not selected,0,room_type 1,13,2018,6,13,online,0,0,0,89.0,2,not_canceled
inn00056,2,0,1,3,meal plan 1,0,room_type 1,100,2018,5,19,online,0,0,0,136.0,1,not_canceled
inn00057,2,0,0,1,not selected,0,room_type 1,139,2018,7,28,online,0,0,0,94.5,1,not_canceled
inn00058,2,0,1,2,meal plan 1,0,room_type 1,117,2018,12,26,online,0,0,0,93.6,2,not_canceled
inn00059,2,0,1,4,meal plan 1,0,room_type 4,39,2018,4,20,online,0,0,0,120.6,0,canceled
inn00060,2,0,0,3,meal plan 1,0,room_type 4,86,2018,4,6,online,0,0,0,99.3,1,not_canceled
inn00061,2,2,0,1,meal plan 1,1,room_type 6,2,2018,9,2,online,0,0,0,258.0,1,not_canceled
inn00062,1,0,0,3,meal plan 1,0,room_type 4,19,2018,5,3,online,0,0,0,120.12,2,not_canceled
inn00063,1,0,0,2,meal plan 1,0,room_type 1,192,2018,6,24,offline,0,0,0,95.0,0,not_canceled
inn00064,1,0,0,1,meal plan 1,0,room_type 1,2,2017,9,10,complementary,0,0,0,0.0,1,not_canceled
inn00065,2,0,2,1,meal plan 1,0,room_type 1,86,2018,12,18,offline,0,0,0,75.0,0,not_canceled
inn00066,2,0,0,3,meal plan 1,0,room_type 4,30,2018,10,5,online,0,0,0,157.5,2,not_canceled
inn00067,2,0,0,2,meal plan 1,0,room_type 4,179,2018,6,3,online,0,0,0,97.7,1,not_canceled
inn00068,2,0,0,2,meal plan 1,0,room_type 4,26,2018,4,15,online,0,0,0,142.0,0,canceled
inn00069,2,0,0,1,meal plan 1,0,room_type 1,55,2018,4,6,offline,0,0,0,80.0,0,not_canceled
inn00070,2,0,1,2,meal plan 1,0,room_type 1,74,2018,4,25,online,0,0,0,85.5,1,not_canceled
inn00071,2,0,0,3,meal plan 1,0,room_type 1,143,2018,8,25,offline,0,0,0,100.0,0,not_canceled
inn00072,2,0,1,0,not selected,0,room_type 1,34,2018,11,14,online,0,0,0,88.0,2,not_canceled
inn00073,2,0,1,1,meal plan 1,1,room_type 1,30,2018,8,29,online,0,0,0,122.85,1,not_canceled
inn00074,2,0,0,2,meal plan 1,0,room_type 1,177,2018,6,3,online,0,0,0,100.0,0,canceled
inn00075,2,0,2,3,meal plan 1,0,room_type 4,34,2017,10,25,offline,0,0,0,75.0,0,not_canceled
inn00076,2,0,1,4,meal plan 1,0,room_type 4,18,2018,3,9,online,0,0,0,116.8,1,not_canceled
inn00077,3,0,1,1,meal plan 1,0,room_type 4,267,2018,12,31,online,0,0,0,121.5,0,not_canceled
inn00078,2,0,1,2,meal plan 1,0,room_type 1,64,2018,6,27,online,0,0,0,111.9,1,not_canceled
inn00079,3,0,2,5,meal plan 1,0,room_type 4,155,2018,6,28,online,0,0,0,121.55,2,canceled
inn00080,2,0,0,5,meal plan 1,0,room_type 1,46,2018,3,29,offline,0,0,0,75.0,1,not_canceled
inn00081,2,2,0,2,meal plan 1,0,room_type 6,83,2018,4,1,online,0,0,0,159.3,0,canceled
inn00082,2,0,0,5,meal plan 1,0,room_type 4,128,2018,10,11,online,0,0,0,132.3,0,canceled
inn00083,2,0,2,0,not selected,0,room_type 1,20,2018,12,25,online,0,0,0,88.0,2,not_canceled
inn00084,2,0,1,4,meal plan 1,0,room_type 4,40,2018,3,14,online,0,0,0,98.82,0,not_canceled
inn00085,2,0,1,2,meal plan 1,1,room_type 4,46,2018,3,4,online,0,0,0,98.3,1,not_canceled
inn00086,1,0,1,0,meal plan 1,0,room_type 1,1,2018,10,17,online,0,0,0,150.0,2,not_canceled
inn00087,2,0,2,3,not selected,0,room_type 1,196,2018,9,4,online,0,0,0,96.05,1,not_canceled
inn00088,1,0,0,2,meal plan 1,0,room_type 1,188,2018,6,15,online,0,0,0,130.0,0,canceled
inn00089,2,0,0,1,not selected,0,room_type 1,17,2018,12,10,online,1,0,5,95.0,0,not_canceled
inn00090,2,0,0,3,meal plan 1,0,room_type 5,146,2018,8,9,offline,0,0,0,113.56,0,not_canceled
inn00091,2,0,1,3,not selected,0,room_type 1,110,2018,5,5,online,0,0,0,101.58,1,not_canceled
inn00092,2,0,1,2,meal plan 1,1,room_type 1,68,2018,3,18,online,0,0,0,105.3,0,not_canceled
inn00093,2,0,2,1,meal plan 1,0,room_type 4,73,2018,4,9,online,0,0,0,115.8,1,not_canceled
inn00094,2,0,0,1,meal plan 1,0,room_type 4,92,2018,5,19,online,0,0,0,149.4,1,not_canceled
inn00095,2,0,2,5,meal plan 1,0,room_type 1,171,2018,8,30,online,0,0,0,111.59,0,canceled
inn00096,2,1,0,2,meal plan 1,1,room_type 1,134,2018,8,4,online,0,0,0,130.5,2,not_canceled
inn00097,2,0,0,2,meal plan 2,0,room_type 1,320,2018,8,18,online,0,0,0,115.0,1,canceled
inn00098,2,0,0,4,meal plan 1,0,room_type 1,118,2018,4,13,online,0,0,0,90.95,1,not_canceled
inn00099,2,0,0,3,meal plan 1,0,room_type 1,30,2018,11,17,online,0,0,0,76.08,1,not_canceled
inn00100,2,2,1,3,meal plan 1,0,room_type 6,30,2018,12,22,online,0,0,0,156.9,0,not_canceled
inn00101,2,0,1,0,not selected,0,room_type 1,189,2018,10,23,online,0,0,0,85.5,2,not_canceled
inn00102,3,0,1,2,meal plan 1,0,room_type 4,55,2018,5,13,online,0,0,0,159.3,2,not_canceled
inn00103,1,0,0,4,meal plan 1,0,room_type 1,55,2018,12,13,online,0,0,0,74.8,2,not_canceled
inn00104,2,0,0,1,meal plan 1,0,room_type 1,16,2017,10,31,online,0,0,0,95.0,1,not_canceled
inn00105,2,0,0,3,meal plan 1,0,room_type 1,24,2017,10,8,online,0,0,0,107.0,1,not_canceled
inn00106,2,0,0,3,meal plan 1,0,room_type 1,8,2018,2,16,offline,0,0,0,64.0,0,not_canceled
inn00107,2,0,1,4,meal plan 1,1,room_type 1,10,2017,11,2,online,0,0,0,82.95,0,not_canceled
